osm_id,osm_type,brand,name,lat,lon,addr_street,addr_city,addr_state,addr_postcode,phone,website,opening_hours,shop_type
309780529,node,Walmart,Walmart Supercenter,28.5153893,-81.4626163,South Kirkman Road,Orlando,FL,32811,+1-407-290-6977,https://www.walmart.com/store/1220-orlando-fl,Mo-Su 06:00-23:00,supermarket
331111041,node,Walmart,Walmart Supercenter,33.033723,-80.064175,Saint James Avenue,Goose Creek,SC,29445,+1 843-553-5421,https://www.walmart.com/store/2928-goose-creek-sc,24/7,supermarket
332590852,node,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,,,,,https://cnib5050.ca/locations.html,,supermarket
457210601,node,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,,,,,https://www.walmart.com/store/2658-west-bend-wi/pharmacy,,
462024651,node,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,,,,,https://www.walmart.com/store/963-weatherford-tx/pharmacy,,
466410098,node,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,,,,,https://www.walmart.com/store/5049-littleton-co/pharmacy,,
467471744,node,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,,,,,https://www.walmart.com/store/3739-nampa-id/pharmacy,,
469819777,node,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,,,,+16363265389,,,optician
499240778,node,Walmart,Walmart Supercenter,35.3863264,-77.9457881,North Spence Avenue,Goldsboro,NC,27534,+1 919-778-3324,https://www.walmart.com/store/1236-goldsboro-nc,24/7,supermarket
506856062,node,Walmart,Walmart Neighborhood Market,33.27952,-86.8512003,Helena Market Place,Helena,AL,35080,+1 205-624-1640,https://www.walmart.com/store/4189-helena-al,Mo-Su 06:00-24:00,supermarket
535070354,node,Walmart,Walmart Supercentre,46.3241616,-72.5655232,,,,,,https://www.walmart.ca/en/stores-near-me/trois-riveres-quebec-3108,,supermarket
560508518,node,Walmart,Walmart Pharmacy,40.417078,-111.7708404,,,,,,https://www.walmart.com/store/4689-cedar-hills-ut/pharmacy,,
572459077,node,Walmart,Walmart Supercenter,33.0352813,-80.1535747,North Main Street,Summerville,SC,29483,+1 843-821-1991,https://www.walmart.com/store/1037-summerville-sc,24/7,supermarket
596016608,node,Walmart,Walmart,32.8423055,-116.990308,Town Center Parkway,Santee,CA,92071,+1 619-449-7900,https://www.walmart.com/store/1917-santee-ca,"Mo-Su 06:00-08:00, 10:00-23:00",department_store
602351016,node,Walmart,Walmart Pharmacy,33.8243846,-84.126045,,,,,+1 770-469-8570,https://www.walmart.com/store/1184-stone-mountain-ga/pharmacy,,
608095019,node,Walmart,Walmart Pharmacy,30.6885963,-91.4649259,,,,,+1 225-638-8616,https://www.walmart.com/store/1196-new-roads-la/pharmacy,,
650857766,node,Walmart,Walmart Pharmacy,39.2910866,-86.7841933,West State Road 46,Spencer,IN,47460,+1-812-829-2251,https://www.walmart.com/store/996-spencer-in/pharmacy,,
652858572,node,Walmart,Walmart Pharmacy,41.9470317,-91.7179948,29th Avenue Southwest,Cedar Rapids,IA,52404,,,Mo-Sa 09:00-19:00; Su 10:00-18:00,
700913513,node,Walmart,Walmart Neighborhood Market,28.5370595,-81.1489443,Avalon Park South Boulevard,Orlando,FL,32828,+1 407-207-0071,https://www.walmart.com/store/3817-orlando-fl,Mo-Su 06:00-24:00,supermarket
724280627,node,Walmart,Walmart Pharmacy,44.3245136,-78.3337556,Chemong Road,Peterborough,,K9H 7E2,+1 705-742-5090,https://www.walmart.ca/en/stores-near-me/peterborough-ontario-3071,,
728118547,node,Walmart,Walmart Pharmacy,34.8843431,-116.9925209,,,,,,https://www.walmart.com/store/1879-barstow-ca/pharmacy,,
738078796,node,Walmart,Walmart Pharmacy,37.9376744,-91.7789556,South Bishop Avenue,Rolla,MO,65401,+1-573-364-4339,https://www.walmart.com/store/101-rolla-mo/pharmacy,,
761545749,node,Walmart,Walmart Pharmacy,41.7889895,-86.2466125,,,,,,https://www.walmart.com/store/2010-niles-mi/pharmacy,,
761667271,node,Walmart,Walmart Neighborhood Market,36.042185,-86.745587,Edmondson Pike,Nashville,TN,37211,+1 615-834-7771,https://www.walmart.com/store/5119-nashville-tn,Mo-Su 05:00-24:00,supermarket
809086703,node,Walmart,Walmart Pharmacy,32.3437146,-111.015811,,,,,,https://www.walmart.com/store/2922-tucson-az/pharmacy,,
824070005,node,Walmart,Walmart,49.2519216,-122.896014,Austin Avenue,,,,,https://www.walmart.ca/en/stores-near-me/burnaby-british-columbia-3008,,department_store
878235907,node,Walmart,Walmart Pharmacy,40.4575169,-86.9322367,,,,,,https://www.walmart.com/store/2339-west-lafayette-in/pharmacy,,
890760435,node,Walmart,Walmart,25.7010305,-100.308032,,,,,,,,department_store
895757691,node,Walmart,Walmart Supercenter,28.0682195,-82.4282157,East Fletcher Avenue,Tampa,FL,33612,+1 813-558-0994,https://www.walmart.com/store/2627-tampa-fl,24/7,supermarket
902323371,node,Walmart,Walmart Supercenter,27.8943821,-97.305533,US Highway 181,Portland,TX,78374,+1 361-643-5342,https://www.walmart.com/store/5460-portland-tx,24/7,supermarket
917840482,node,Walmart,Walmart Pharmacy,37.3256178,-79.4971636,,,,,,https://www.walmart.com/store/1399-bedford-va/pharmacy,,
