osm_id,brand,name,lat,lon,state,year,acsi_firm_score,store_satisfaction_proxy
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2018,71,71.9
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2019,71,67.9
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2020,72,74.3
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2021,73,75.8
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2022,72,66.1
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2023,73,69.1
309780529,Walmart,Walmart Supercenter,28.5153893,-81.4626163,FL,2024,72,72.4
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2018,71,70.1
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2019,71,70.9
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2020,72,69.4
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2021,73,75.6
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2022,72,74.3
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2023,73,73.2
331111041,Walmart,Walmart Supercenter,33.033723,-80.064175,SC,2024,72,75.4
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2018,71,72.4
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2019,71,68.4
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2020,72,73.1
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2021,73,70.1
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2022,72,74.6
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2023,73,72.9
332590852,Walmart,Walmart Supercentre,42.4343159,-82.2194379,,2024,72,71.4
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2018,71,69.0
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2019,71,74.7
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2020,72,71.5
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2021,73,71.7
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2022,72,70.9
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2023,73,74.6
457210601,Walmart,Walmart Pharmacy,43.3958832,-88.1974702,,2024,72,73.1
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2018,71,72.2
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2019,71,72.3
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2020,72,78.4
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2021,73,71.8
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2022,72,70.5
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2023,73,70.6
462024651,Walmart,Walmart Pharmacy,32.7320535,-97.7947766,,2024,72,73.8
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2018,71,74.4
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2019,71,70.7
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2020,72,69.5
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2021,73,70.5
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2022,72,74.0
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2023,73,75.2
466410098,Walmart,Walmart Pharmacy,39.6077971,-105.150985,,2024,72,73.6
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2018,71,69.0
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2019,71,71.7
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2020,72,72.4
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2021,73,73.7
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2022,72,74.6
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2023,73,73.7
467471744,Walmart,Walmart Pharmacy,43.6032058,-116.5111202,,2024,72,74.0
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2018,71,71.2
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2019,71,71.9
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2020,72,73.9
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2021,73,68.6
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2022,72,71.0
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2023,73,71.6
469819777,Walmart,Walmart Vision Center,38.5096844,-90.4389767,,2024,72,70.1
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2018,71,70.2
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2019,71,75.5
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2020,72,69.4
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2021,73,75.9
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2022,72,67.0
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2023,73,72.0
499240778,Walmart,Walmart Supercenter,35.3863264,-77.9457881,NC,2024,72,72.5
